Solar Irradiance,PV Current,PV Voltage,PV Energy,clusters_pred
459.24065018999977,46.7,34.2,0.0,3
477.8241683666666,50.6,25.5,0.0,3
550.1958723986504,53.3,80.8,0.0,3
597.6301283333332,55.3,61.1,0.0,3
635.2170141999986,56.5,62.8,0.0,2
661.9999197600006,57.4,97.5,0.0,2
675.3428231677776,58.2,54.0,0.0,2
674.7912121066668,58.4,43.8,0.0,2
679.4020602433329,58.8,72.5,0.0,2
738.864190116667,59.1,112.9,100.0,2
754.7732808766672,59.6,102.6,100.0,2
755.4564903674997,59.6,165.8,100.0,2
765.5504050899997,60.0,188.9,100.0,1
811.6268465200002,60.2,154.8,200.0,1
816.1608313083333,60.3,103.4,200.0,1
819.1831455850001,60.4,198.5,200.0,1
821.3763802350003,60.6,208.5,200.0,1
